No. of Checks,No. of Fakes,TP- Random Sample,TP- Original Threshold,TP- Modified Threshold,Original/Random,Modified / Random,Modified/Original,Modified/Random
10,10,0.0096,0.0393,0.0597,4.093750000000001,6.218750000000001,1.5190839694656488,6.218750000000001
10,100,0.0983,0.4521,0.5685,4.599186164801628,5.783316378433367,1.2574651625746516,5.783316378433367
10,1000,0.9036,3.216,3.7454,3.5590969455511288,4.1449756529437805,1.1646144278606965,4.1449756529437805
10,5000,3.3488,7.0328,7.5041,2.1000955566172954,2.240832537028189,1.0670145603458083,2.240832537028189
100,10,0.1038,0.4083,0.5701,3.933526011560693,5.492292870905588,1.3962772471222142,5.492292870905588
100,100,0.9894,4.4635,5.6703,4.5113199919142914,5.7310491206792,1.2703707852582056,5.7310491206792
100,1000,9.1498,32.1638,37.523,3.51524623489038,4.100963955496295,1.1666221031097073,4.100963955496295
100,5000,33.3625,70.4637,75.0347,2.1120629449231925,2.2490730610715626,1.0648702807261043,2.2490730610715626
1000,10,1.0034,4.1756,4.7454,4.161451066374327,4.729320310942795,1.1364594309799791,4.729320310942795
1000,100,9.9146,44.9195,49.4538,4.530641679946745,4.987977326367176,1.10094279767139,4.987977326367176
1000,1000,90.7968,322.7496,375.0563,3.5546362867413825,4.130721567279904,1.1620658863713542,4.130721567279904
1000,5000,333.4121,704.5059,750.3159,2.113018393753556,2.250415926716517,1.0650242957511074,2.250415926716517
5000,10,4.9756,4.9745,10.6341,0.9997789211351394,2.1372497789211358,2.1377223841592117,2.1372497789211358
5000,100,49.553000000000004,55.9526,113.4822,1.1291465703388293,2.2901176518071558,2.0281845705114687,2.2901176518071558
5000,1000,454.5945,568.2021,956.3947,1.2499097547374638,2.1038413355198973,1.6831945886859625,2.1038413355198973
5000,5000,1666.912,2843.9555,3382.0018,1.706122158818222,2.0289024255629573,1.189189422970929,2.0289024255629573
